Name,Licence Number,Email,Website
Hidden Gems of Uganda,UTB/RTT/TA/2019/00167,reservations.hiddengems@gmail.com,http://www.hiddengemsofuganda.com
BAKUMPE TRAILS AND SAFARIS LTD,UTB/RTT/TA/2019/0037,ssaligadafi@gmail.com,http://www.bakumpe.com
Easy Travel Africa,UTB/RTT/TA/2019/0064,easytravelafrica@gmail.com,http://www.easytravelafrica.com
Al-quds,UTB/RTT/TA/2020/00279,alqudstoursandtravel@gmail.com,http://www.alqudstravels.com
Sana Travels,UTB/RTT/TA/2020/00377,sanatravels2008@gmail.com,http://www.sanatravels.ug
Bere Travel and cargo Limited,UTB/RTT/TA/2020/00459,beretravelandcargo@gmail.com,http://www.beretravel.com
Tick Travel Limited,UTB/RTT/TA/2020/00474,reservations@ticktravel.net,http://www.ticktravel.net
Global Link Tours and Travel,UTB/RTT/TA/2020/00555,globallinktours@gmail.com,http://www.globallinktoursandtravel.com
Malaika Adventures Travel.,UTB/RTT/TA/2020/00581,malaikaadventures@yahoo.com,http://www.malaikaadventures.com
Interline Tour and Travel Limited,UTB/RTT/TA/2020/006,interlin@africaonline.co.ug,http://www.interlin.ug
Bantu Africa Travel Limited,UTB/RTT/TA/2020/0065,info@bantusafaris.com,http://www.bantusafaris.com
Ebenezer Secure Links,UTB/RTT/TA/2020/00675,info@ebenezersecurelinks.com,http://www.ebenezersecurelinks.com
Simba Travel Care Limited,UTB/RTT/TA/2020/0068,declan@travelcare.co.ug,http://www.travelcare.co.ug
ENGABI TOURS AND TRAVEL,UTB/RTT/TA/2020/00733,info@gorillasafaridiscovery.com,http://www.gorillasafaridiscovery.com
Devama Travel Solutions Limited,UTB/RTT/TA/2021/0018,info@davematravelsolutions.com,http://www.davematravelsolutions.com
SK Tours & Travel,UTB/RTT/TA/2021/00838,sktravelskampala@gmail.com,http://www.sktrasvels.co.ug
AMEERA AFRICA SAFARIS LTD,UTB/RTT/TA/2021/00955,info@ugandasafaritour.com,http://www.ugandasafaritour.com
TSA Services and General Trading (U) LTD,UTB/RTT/TA/2021/100042,kampala@tsatravel.com,http://www.tsatravel.com
Tour and Travel Centre Limited,UTB/RTT/TA/2021/100097,info@tourandtravelcentre.com,http://www.tourandtravelcentre.com
Waheguru Travels Limited,UTB/RTT/TA/2022/100168,kampala@wahegurutravels.com,http://www.wahegurutravels.com
AZIEL TRAVEL AND TOURS,UTB/RTT/TA/2022/100227,aziel.travelandtours@gmail.com,http://www.attg.com
Expedia Africa Agency,UTB/RTT/TA/2022/100228,expediafrica@gmail.com,http://www.expediafrica.com
Varitus Resourcing Ug Ltd,UTB/RTT/TA/2022/100258,info@varitusresourcing.co.ug,http://www.varitusresourcing.co.ug
MZIWANDA INTERNATIONAL LIMITED,UTB/RTT/TA/2022/100260,mhzsamuel@gmail.com,http://www.mziwandainternational.com
LISANI TOURS AND TRAVEL,UTB/RTT/TA/2022/100263,lisanitoursandtravel@gmail.com,http://www.lisanitoursandtravel.com
Santaviva,UTB/RTT/TA/2022/100275,imuhire1984@gmail.com,http://www.santaviva.net
Northern Fox Adventures,UTB/RTT/TA/2022/100309,info@northernfoxadventures.com,http://www.northernfoxadventures.com
Bahiti Tours,UTB/RTT/TA/2022/100393,bahititours256@gmail.com,http://www.bahititours.com
AEROCORD TRAVELS U LTD,UTB/RTT/TA/2022/100394,info@aerocordtravelsug.com,http://WWW.AEROCORDTRAVELS.COM
PROSPERITY ADVENTURES,UTB/RTT/TA/2022/100404,info@prosperity-adventures.com,http://www.prosperity-adventures@com
BEZALEL TOURS AND TRAVEL LTD,UTB/RTT/TA/2022/100544,bezaleltoursandtravel22@gmail.com,http://http://www.bezaleltoursandtra.wixsite.com/bezaleltravel
QARAN TRAVEL AND CARGO AGENCY SMC LIMITED,UTB/RTT/TA/2022/100549,qarantravelltd@gmail.com,http://qarantravelltd@gmail.com
HOPESTONE BUSINESS SOLUTIONS,UTB/RTT/TA/2022/100583,info@hopestonebusinesssolutioncltd.com,http://www.hopestonebusinesssolutioncltd.com
AFFORDABLE DUBAI TRAVEL,UTB/RTT/TA/2022/100616,ntindaoffice@gmail.com,http://www.affordabledubaitravel.com
FUFA HOSPITALITY AND TRAVEL AGENCY,UTB/RTT/TA/2023/100640,travel@fufahospitality.com,http://www.http://fufahospitality.com/
Kampala Walking Tours,UTB/RTT/TO/2019/00107,info@kampalawalkingtours.com,http://www.kampalawalkingtours.com
Sights and Sounds of Africa Safaris Limited,UTB/RTT/TO/2019/00108,africasightsandsounds@gmail.com,http://www.africasightsandsounds.com
Twist African Safaris Ltd,UTB/RTT/TO/2019/0011,info@twistafricansafari.com,http://www.twistafricansafari.com
Limitless Tours and Travels,UTB/RTT/TO/2019/00112,limitlesstoursandtravels@gmail.com,http://www.limitlesstoursuganda.vacations
Adyeri Creations Limited,UTB/RTT/TO/2019/00120,travel@adyeri.com,http://www.adyeri.co
Wild Frontiers Uganda Safaris,UTB/RTT/TO/2019/00123,info@wildfrontiers-uganda.com,http://www.wildfrontiers.co.ug
Around Africa Safaris,UTB/RTT/TO/2019/00129,reservations@aroundafricasafari.com,http://www.aroundafricasafaris.com
Raft Uganda,UTB/RTT/TO/2019/0013,info@raftuganda.com,http://www.raftuganda.com
Big Cat Tours & Travel Limited,UTB/RTT/TO/2019/00130,bigcattoursandtravel@gmail.com,http://www.bigcattoursandtravel.com
Bird Uganda Safaris,UTB/RTT/TO/2019/00132,director@birduganda.com,http://www.birduganda.com
Sun Africa Expeditions,UTB/RTT/TO/2019/00133,ddamulira@sunafricaexpeditions.com,http://www.sunafricaexpeditions.com
Venture Uganda Travel,UTB/RTT/TO/2019/00134,l.harris@ventureuganda.org,http://www.ventureuganda.org
Kagera Safaris,UTB/RTT/TO/2019/00136,info@kagerasafaris.com,http://www.kagerasafaris.com
Kigere Tours,UTB/RTT/TO/2019/00137,companysafaris@gmail.com,http://www.kigeretours.com
Nkuringo Safaris Limited,UTB/RTT/TO/2019/00142,lydia@nkuringosafaris.com,http://www.nkuringosafaris.com
Trekking Timmy,UTB/RTT/TO/2019/0015,trekwithtim@trekkingtimmy.com,http://www.trekkingtimmy.com
Northern Nature Safaris Limited,UTB/RTT/TO/2019/00187,northernnaturesafaris@gmail.com,http://www.northernnaturesafaris.net
